"sourceAddress","sum(inAmount)","inAsset"
"13tWWEeo9Tpo8TSFs4i3WjZMqyUi4MDfdQ","52080000","BTC"
"161fUGMkVCyoRi1YvswZ5ymxWFcT1oMxRA","52000000","BTC"
"14BuR5ecdYHWfrChWyin4DMnncHo9wX7Fr","51917207","BTC"
"1DLnADcGKGah1fhVA1JUKjiD8xZCJXVao3","152000000","BTC"
"1DGADoKHeSZWd4u84ufKtCRgENzL6C6zqf","50817597","BTC"
"178g2sKmZdPMhqpUAeEqQG5opUAvtX13Jf","50570000","BTC"
"18DfBgjEcxBxpQqr898AZaSUSUsxTM8fjj","50500000","BTC"
"17dBPbcrZw6BwPWpgDzBZbaL32UuDFRftK","50140000","BTC"
"1EcsAJ1LdZw3NyAzNWhgeYkh3ky2gqsAt5","50087800","BTC"
"1FVbYstbR1jPHT4E8SEH7bZB4RuSrJhUaM","200030000","BTC"
"1JLRCsFk9KjUGQdjbfdNm7y3uNXxWdWrMN","50008800","BTC"
"1C3e4BS9ReQNxP5cv9cu9UfnDeMq9Uyynn","50005600","BTC"
"13vbUmESuCyxwEJX4twHGXQ2KEfSxgHJ5F","50000000","BTC"
"14E3J4bRAbQte29Dev1gJ73LKeaviJ8qpY","50000000","BTC"
"155e1JmvYq2j17KougcqZ5G6mFgG5iDqA1","50000000","BTC"
"16rBdS4px9Btd1fHU8W89h4Sbpt3PQwazw","50000000","BTC"
"1ALv2Ty35n3fXVAk8Ehdv6YMB3YVKpi1Wc","50000000","BTC"
"1AMeudCuo6PWsUX8fXAUk1LVCGHJK1J1HD","50000000","BTC"
"1CGN2kFnTTzf64YtzZE56SbJdTkxR3ZxdG","50000000","BTC"
"1CfYP8cqQpExjnr6R5RwePbu2uKuqB48j5","50000000","BTC"
"1CgtPxxPavV8TYVTqgXZXqKvpjMywqDRWJ","50000000","BTC"
"1FjXd9MpXYA4yrPMsr5Khm9snvcEQLCNR2","50000000","BTC"
"1H9mzGgFGFszBG4W7ViFhDdYcyDfcVpbDW","50000000","BTC"
"1HcxuFgmJFwHcT83ERJxXW851zektHf1Yi","50000000","BTC"
"1J1bNyr1vdS5WWje91cHaY3gyT1H2RZ3Qv","50000000","BTC"
"1JSwugDJrxeYWYLboKr2JVwxVjW9N8Tdpd","50000000","BTC"
"1JaNtHN1buUv7jYVF9mL3AJN1SmjurkmmY","50000000","BTC"
"1KDFibZ4edDMBgzpJdeHtGbWi5CgSP6rN1","50000000","BTC"
"1MBpMztK2FrW21xSHV5sbfTsaRoNjnHbFb","50000000","BTC"
"1MaajJkRqN3rRp1jhLPLYCpiWmE2dzq4cF","50000000","BTC"
"1Nss2Aqy3sMuKHt9dpNzus3aCNihJTTLsR","50000000","BTC"
"1Pi47sd8CReFwNfxYwSVfpyWtPb46LvHJz","50000000","BTC"
"1EF2tWQ1TKViFNS7f5JgLa6p8P7ik3wvJB","49990860","BTC"
"1NZZEvzxWPF5nd8c77MtuMriZidjLETtK8","49990000","BTC"
"1v3CH8g4H9ti4tnBE3RC6t1ZvUvonqi3i","49990000","BTC"
"1JUZCSUpMmswViU95CThtWnK2jtiUsrx2r","49985250","BTC"
"13EPu7jrXWckeHReuhPFbms4rEgHoeiwYM","49980000","BTC"
"13nsRitoMbUxx5AD74jGZZVWMAZCnLkvaK","49980000","BTC"
"14PNCrYnU4n1A1Rh1YDkJVF7xuzyXSLz8q","99960000","BTC"
"15F1coe2MTNFRdfkyCtwssx85349bGBkwh","49980000","BTC"
"166MJbbwiRG8WNcoQTjrR4xpwX8se1Encc","49980000","BTC"
"17Mh13dhmTAPb7Y1VKfAfjJVPE3NSL5Qkd","49980000","BTC"
